request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000.00 today. This leaves at least IDR 24,768,300.00 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670.00 today. This leaves at least ZAR 20,500.00 available over the next 90 days."
request_28,648.4,affordable_later,wait,2024-06-20:1302.4,2024-06-20,none,"Pay EUR 1,302.40 in full on 20 June 2024."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524.00 today. This leaves at least ZAR 28,300.00 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026."
request_31,5948819.36,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Pay IDR 18,164,000.00 in full on 15 October 2024."
request_32,28512.26,affordable_later,wait,2025-02-15:40018,2025-02-15,none,"Pay ZAR 40,018.00 in full on 15 February 2025."
request_33,55570.0,affordable_later,wait,2026-01-15:118000,2026-01-15,none,"Pay INR 118,000.00 in full on 15 January 2026."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400.00 today. This leaves at least INR 138,500.00 available over the next 90 days."
request_35,75388.66,affordable_later,wait,2025-12-15:212000,2025-12-15,none,"Pay INR 212,000.00 in full on 15 December 2025."
request_36,1108.22,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Pay USD 3,954.00 in full on 15 August 2026."
request_37,10205973.07,affordable_later,wait,2024-03-20:14649000,2024-03-20,none,"Pay IDR 14,649,000.00 in full on 20 March 2024."
request_38,316.0,affordable_later,wait,2025-08-15:971.3,2025-08-15,none,Pay EUR 971.30 in full on 15 August 2025.
request_39,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 208,600.00 request."
